c_loss,d_loss,e_loss,elapsed_time,epoch,g_loss,step,total_loss,val_c_loss,val_d_accuracy,val_d_loss,val_e_loss,val_g_loss,val_total_loss
4.865482330322266,0.9925861358642578,-187.2057342529297,2770.80810546875,23,-126.94509887695312,3999,-308.29278564453125,,,,,,
-4.226421356201172,5.1083807945251465,-192.68258666992188,2795.544189453125,23,-115.31088256835938,4049,-307.11151123046875,,,,,,
-0.7687234878540039,5.228764533996582,-205.7958984375,2820.064208984375,23,-116.26424407958984,4099,-317.60009765625,,,,,,
,,,2836.262451171875,23,,4127,,306.0894775390625,-9.351391792297363,-80.3135757446289,-594.908203125,9.348017692565918,-359.7843017578125
7.6131720542907715,3.250429391860962,-218.16354370117188,2858.142578125,24,-103.57974243164062,4149,-310.87969970703125,,,,,,
-3.5580015182495117,12.664019584655762,-216.06263732910156,2882.6240234375,24,-154.12362670898438,4199,-361.08026123046875,,,,,,
-1.9058551788330078,6.009885311126709,-228.38140869140625,2907.129638671875,24,-119.01887512207031,4249,-343.2962646484375,,,,,,
4.079183578491211,10.702224731445312,-237.6107635498047,2931.43212890625,24,-167.01995849609375,4299,-389.84930419921875,,,,,,
,,,2933.796875,24,,4299,,352.1895751953125,46.05201721191406,-65.06985473632812,-627.7359008789062,-95.68415832519531,-436.3002624511719
1.201584815979004,5.513284683227539,-237.72999572753906,2970.174560546875,25,-151.2506103515625,4349,-382.2657470703125,,,,,,
2.798741340637207,8.133488655090332,-236.8171844482422,2994.999267578125,25,-159.3145751953125,4399,-385.19952392578125,,,,,,
11.385601043701172,4.158703327178955,-241.15536499023438,3020.49267578125,25,-148.94943237304688,4449,-374.56048583984375,,,,,,
,,,3033.001220703125,25,,4471,,219.00515747070312,37.77705764770508,-44.954044342041016,-567.9841918945312,-78.04048156738281,-471.9736328125
-1.2073945999145508,5.640257835388184,-237.2611083984375,3068.081787109375,26,-136.37026977539062,4499,-369.1985168457031,,,,,,
4.283092021942139,3.06223201751709,-243.65322875976562,3092.53955078125,26,-130.47470092773438,4549,-366.7825927734375,,,,,,
2.0740623474121094,3.405566930770874,-247.73916625976562,3117.46240234375,26,-125.63540649414062,4599,-367.89495849609375,,,,,,
,,,3141.594482421875,26,,4643,,358.0146484375,48.61603546142578,-39.942630767822266,-575.6018676757812,-97.0009765625,-354.5307922363281
-0.9710025787353516,2.7696897983551025,-249.9395294189453,3155.73095703125,27,-139.766357421875,4649,-387.9072265625,,,,,,
8.449396133422852,2.7837915420532227,-267.23748779296875,3180.2080078125,27,-136.94113159179688,4699,-392.9454345703125,,,,,,
3.9249930381774902,4.922140598297119,-277.6165771484375,3205.094970703125,27,-159.509765625,4749,-428.27923583984375,,,,,,
-10.524136543273926,3.5779435634613037,-270.834716796875,3229.6064453125,27,-120.22929382324219,4799,-398.01019287109375,,,,,,
,,,3240.226806640625,27,,4815,,478.20672607421875,47.06422805786133,-33.726898193359375,-653.0621337890625,-93.77786254882812,-302.36016845703125
-4.2735981941223145,2.1885321140289307,-281.755859375,3267.6005859375,28,-137.79063415527344,4849,-421.6315612792969,,,,,,
-7.871782302856445,2.7360482215881348,-281.6197509765625,3292.099853515625,28,-121.47517395019531,4899,-408.23065185546875,,,,,,
4.016075134277344,1.9055171012878418,-296.9255676269531,3316.6611328125,28,-137.37205505371094,4949,-428.37603759765625,,,,,,
,,,3337.703369140625,28,,4987,,198.33523559570312,47.45241165161133,-38.360374450683594,-471.41632080078125,-96.4458236694336,-407.8873291015625
6.776998519897461,4.388271331787109,-301.3334655761719,3356.58251953125,29,-142.05203247070312,4999,-432.22021484375,,,,,,
5.331055641174316,2.9818756580352783,-317.1239013671875,3381.134765625,29,-139.45001220703125,5049,-448.260986328125,,,,,,
-6.582899570465088,2.3432905673980713,-318.17718505859375,3406.05615234375,29,-130.45114135742188,5099,-452.867919921875,,,,,,
2.0130276679992676,2.4950006008148193,-326.2839660644531,3430.570068359375,29,-137.5966339111328,5149,-459.37255859375,,,,,,
,,,3438.091552734375,29,,5159,,260.51092529296875,54.18608474731445,-29.13437271118164,-840.5000610351562,-105.50450134277344,-714.6280517578125
0.2502584457397461,3.4232053756713867,-326.6689147949219,3477.004638671875,30,-133.2322540283203,5199,-456.22772216796875,,,,,,
-17.579849243164062,2.865929126739502,-323.87237548828125,3501.479248046875,30,-141.8111572265625,5249,-480.3974609375,,,,,,
-28.583240509033203,3.1133193969726562,-317.949951171875,3525.896240234375,30,-118.57708740234375,5299,-461.9969482421875,,,,,,
,,,3544.50439453125,30,,5331,,609.7228393554688,51.64958190917969,-17.537826538085938,-1053.9132080078125,-104.63578033447266,-566.3638916015625
-44.253700256347656,2.5467634201049805,-315.41351318359375,3574.51025390625,31,-112.93458557128906,5349,-470.0550537109375,,,,,,
-20.75792694091797,2.7402396202087402,-351.95684814453125,3599.1767578125,31,-113.56293487548828,5399,-483.5374755859375,,,,,,
-49.927001953125,1.2041797637939453,-339.5380554199219,3623.688720703125,31,-114.90017700195312,5449,-503.16107177734375,,,,,,
-16.463003158569336,1.443556785583496,-378.7340087890625,3648.173828125,31,-124.38703918457031,5499,-518.1405029296875,,,,,,
,,,3653.025634765625,31,,5503,,-224.4717254638672,48.2332763671875,-22.221607208251953,-666.5919799804688,-98.69877624511719,-1011.984130859375
-35.1625862121582,2.2629826068878174,-370.1415100097656,3694.837890625,32,-119.10008239746094,5549,-522.1411743164062,,,,,,
